file_name,content_type,file_size_bytes,label
payment.js,application/javascript,38857,1
holiday_photo_new.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,7394452,0
security_patch_secure.apk,application/vnd.android.package-archive,102741994,1
profile_picture_final.java,text/x-java-source,262951,0
holiday_photo_new.py,text/x-python,490883,0
account_update_secure.ps1,text/plain,7466,1
payment.xls.apk,application/vnd.android.package-archive,103729041,1
data_export_2026.html,text/html,701623,0
scan_copy_new.png.exe,application/x-msdownload,1827761,1
holiday_photo_final.csv,text/csv,7630744,0
travel_itinerary_2026.py,text/x-python,706312,0
budget_2026.txt,text/plain,1462822,0
statement_final.js,application/javascript,4567,1
project_plan.pdf,application/pdf,4829195,0
bank_notice_secure.msi,application/x-msi,15896266,1
courier_copy.png.zip,application/zip,4034275,1
release_notes_final.java,text/x-java-source,703797,0
budget_2026.py,text/x-python,160667,0
lecture_notes_final.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,3872786,0
payment.jar,application/java-archive,9547156,1
bank_notice_new.msi,application/x-msi,17787142,1
scan_copy_review.xls.exe,application/x-msdownload,222381,1
invoice_new.vbs,text/plain,28384,1
resume_2026.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12,1462712,1
remittance_copy.docm,application/vnd.ms-word.document.macroEnabled.12,2191694,1
payment_2026.pdf.lnk,application/x-ms-shortcut,6692,1
account_update.hta,application/hta,1452,1
release_notes_copy.csv,text/csv,1323164,0
payment_review.bat,application/x-bat,2291,1
verification_new.cmd,application/x-bat,21717,1
salary_final.txt.msi,application/x-msi,5269903,1
bank_notice_secure.doc.ps1,text/plain,26674,1
data_export_2026.jpg,image/jpeg,12713869,0
product_specs_copy.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1852847,0
reset_copy.cmd,application/x-bat,22072,1
release_notes_review.mp3,audio/mpeg,12002257,0
courier_final.msi,application/x-msi,8854456,1
team_directory_copy.jpeg,image/jpeg,9178137,0
security_patch_2026.vbs,text/plain,24785,1
budget_2026_copy.mp3,audio/mpeg,13151787,0
wire_transfer_review.msi,application/x-msi,7287922,1
security_patch.png.exe,application/x-msdownload,1228032,1
team_directory_2026.png,image/png,5005287,0
report_final_review.txt,text/plain,996983,0
budget_2026_copy.png,image/png,9134332,0
bank_notice.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12,1829780,1
salary.vbs,text/plain,11702,1
wire_transfer_review.png.zip,application/zip,4072714,1
account_update_2026.xls.msi,application/x-msi,17044939,1
urgent_document_new.pdf.js,application/javascript,73907,1
meeting_notes_review.txt,text/plain,1040678,0
travel_itinerary_2026.png,image/png,7427625,0
urgent_document_secure.doc.cmd,application/x-bat,13710,1
roadmap_final.jpeg,image/jpeg,5781756,0
lecture_notes_2026.html,text/html,952588,0
bank_notice_secure.jar,application/java-archive,10429801,1
courier_review.vbs,text/plain,7856,1
holiday_photo_review.py,text/x-python,610596,0
project_plan.jpg,image/jpeg,9589837,0
verification_new.bat,application/x-bat,20134,1
release_notes.txt,text/plain,355823,0
wire_transfer_2026.docm,application/vnd.ms-word.document.macroEnabled.12,3632879,1
bank_notice.zip,application/zip,5902961,1
courier_2026.xls.iso,application/x-iso9660-image,1305553159,1
resume_review.doc.lnk,application/x-ms-shortcut,4926,1
family_video.png,image/png,9368984,0
salary.png.exe,application/x-msdownload,750662,1
product_specs_secure.jpg,image/jpeg,11616763,0
statement_review.pdf.exe,application/x-msdownload,2429819,1
security_patch_new.jpg.ps1,text/plain,7880,1
team_directory.png,image/png,9707281,0
scan_copy_2026.scr,application/x-msdownload,2424960,1
report_final.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,2690901,0
verification.msi,application/x-msi,11533721,1
courier.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12,1088587,1
wire_transfer_review.hta,application/hta,26939,1
family_video.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,1321083,0
scan_copy_new.iso,application/x-iso9660-image,2845175028,1
courier_final.hta,application/hta,18334,1
resume_copy.js,application/javascript,51817,1
release_notes_new.jpg,image/jpeg,8647104,0
remittance_new.vbs,text/plain,21208,1
holiday_photo_final.java,text/x-java-source,819489,0
invoice_review.iso,application/x-iso9660-image,405947061,1
reset_final.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12,1041862,1
resume_final.docm,application/vnd.ms-word.document.macroEnabled.12,1497902,1
bank_notice_copy.jar,application/java-archive,3920524,1
resume_2026.hta,application/hta,13310,1
statement_new.doc.bat,application/x-bat,28586,1
invoice.scr,application/x-msdownload,3487203,1
release_notes_2026.jpg,image/jpeg,7252791,0
account_update_copy.lnk,application/x-ms-shortcut,3070,1
profile_picture_copy.mp4,video/mp4,31612407,0
project_plan.jpg,image/jpeg,1837351,0
product_specs_new.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,9142451,0
holiday_photo_2026.csv,text/csv,9937854,0
meeting_notes_2026.html,text/html,316296,0
security_patch_copy.xls.jar,application/java-archive,4384372,1
account_update_copy.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12,1407678,1
release_notes_secure.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,3139678,0
resume_review.dll,application/x-msdownload,170613,1
courier.hta,application/hta,39224,1
roadmap_new.mp3,audio/mpeg,9741746,0
profile_picture.html,text/html,663759,0
team_directory_copy.java,text/x-java-source,348521,0
project_plan_copy.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,11437687,0
statement_review.zip,application/zip,6227071,1
product_specs_new.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,6574364,0
profile_picture_review.txt,text/plain,354804,0
holiday_photo_new.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,5141327,0
courier_review.hta,application/hta,28178,1
roadmap_secure.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,18368028,0
statement_2026.txt.lnk,application/x-ms-shortcut,7852,1
payment_secure.hta,application/hta,10477,1
team_directory_review.py,text/x-python,632234,0
remittance_review.pdf.vbs,text/plain,2075,1
urgent_document.jar,application/java-archive,10493344,1
salary_2026.iso,application/x-iso9660-image,3886411414,1
lecture_notes_copy.txt,text/plain,972964,0
travel_itinerary_2026.txt,text/plain,1780699,0
verification_secure.bat,application/x-bat,3751,1
salary_final.msi,application/x-msi,1683872,1
roadmap_copy.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1702024,0
invoice_secure.jpg.js,application/javascript,13842,1
travel_itinerary_2026.txt,text/plain,537774,0
profile_picture_final.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,23500567,0
team_directory_secure.jpeg,image/jpeg,8333907,0
resume_final.bat,application/x-bat,9428,1
budget_2026_final.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2057647,0
resume_review.msi,application/x-msi,3387686,1
data_export_secure.csv,text/csv,9721718,0
invoice_review.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12,857223,1
account_update_secure.dll,application/x-msdownload,1917199,1
family_video_final.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,13616962,0
roadmap_copy.json,application/json,909941,0
meeting_notes_2026.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1840122,0
salary_secure.png.docm,application/vnd.ms-word.document.macroEnabled.12,1830649,1
payment_copy.cmd,application/x-bat,11333,1
holiday_photo_new.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,5371230,0
bank_notice_final.pdf.bat,application/x-bat,23429,1
resume_copy.exe,application/x-msdownload,3278729,1
roadmap_new.py,text/x-python,623267,0
invoice_final.xls.docm,application/vnd.ms-word.document.macroEnabled.12,991910,1
wire_transfer_final.apk,application/vnd.android.package-archive,64658369,1
wire_transfer.jar,application/java-archive,5670806,1
family_video_new.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,3560860,0
account_update_secure.vbs,text/plain,5965,1
release_notes_2026.html,text/html,508715,0
payment_copy.docm,application/vnd.ms-word.document.macroEnabled.12,676609,1
family_video_copy.txt,text/plain,1355059,0
remittance_2026.png.cmd,application/x-bat,11789,1
reset_2026.dll,application/x-msdownload,728865,1
